459	871
460	1077
462	1957
463	521
464	1546
466	1550
467	2077
468	914
469	1106
470	1943
471	565
472	1101
473	565
474	999
475	1653
477	785
478	1906
479	1943
480	1443
482	1387
483	999
484	1125
485	1836
486	1550
487	1473
488	1811
489	1906
490	1593
491	898
491	941
491	1601
491	747
491	1479
491	857
491	2063
492	1728
493	1694
494	1916
495	1125
496	2027
497	1869
499	1593
500	1223
501	552
502	1106
503	1593
504	1038
506	945
506	1685
506	1122
507	1694
507	1972
508	1615
508	879
508	2006
508	1940
508	812
508	974
508	1897
508	1226
508	586
508	1118
513	1455
515	1393
515	1701
516	937
517	1894
519	779
520	1728
521	777
521	625
521	1135
521	1150
521	2057
521	924
521	1989
521	809
521	724
521	1838
521	1489
521	1250
521	1471
521	995
521	679
521	683
521	1797
522	1546
523	694
523	1378
523	767
523	1501
523	1950
523	1830
523	1051
524	1500
524	1966
524	1674
524	1810
524	1495
524	780
525	1200
525	1408
526	878
528	2077
529	1886
530	2027
531	1338
531	636
531	1644
531	2010
531	2035
531	1293
531	744
531	1326
531	1133
532	1731
533	1630
534	1433
535	1341
536	791
537	2078
538	1588
538	801
538	1864
538	1549
538	918
538	2070
538	2040
538	1597
538	2023
538	1079
538	699
538	616
538	1714
538	1152
538	837
538	1999
538	1304
538	1091
538	720
538	874
538	1783
539	1653
540	716
540	1387
542	1204
545	1630
546	1546
547	1193
548	552
549	594
549	919
549	961
549	1074
549	1004
549	1060
550	1128
552	1229
552	1041
552	1191
552	832
552	1366
552	627
553	1894
555	1559
556	1559
557	1341
558	1368
558	1179
558	2085
559	1077
560	1455
561	1939
562	1630
563	935
564	1414
564	638
564	1305
565	2073
565	1864
565	1970
565	1755
565	1407
565	566
565	1225
565	631
565	1395
565	689
565	1480
565	1733
567	716
569	937
571	2078
572	1980
573	1862
573	1605
573	933
573	1817
573	1650
573	917
573	774
573	1353
574	1390
575	740
576	1613
576	687
576	726
576	2108
578	1939
579	779
579	697
581	1546
582	942
582	615
583	1916
587	2077
588	1422
590	1066
591	1381
592	1696
593	1101
596	1559
597	1037
598	830
599	1618
600	1852
601	1552
602	1193
603	779
604	1836
604	1204
605	1552
606	1106
607	1422
608	2077
609	772
609	612
609	1658
610	1193
610	1469
611	1455
612	1552
613	1193
614	1593
615	966
615	798
615	1671
615	1036
615	1859
615	1604
615	1099
615	2015
615	1818
615	1590
615	1741
615	1159
615	2003
615	1858
615	1804
615	1675
615	900
615	1228
617	999
618	1232
618	1419
618	1056
619	945
620	1422
622	1943
623	976
624	1869
626	2078
628	2027
630	1811
632	1394
633	740
634	1101
637	1696
639	1916
640	830
642	1894
643	1849
643	1657
644	1106
645	1449
646	716
647	945
647	1066
649	1433
650	1559
651	1600
653	1943
655	2077
656	1101
658	1559
660	1998
661	878
662	1886
663	1387
665	1653
667	1836
668	1701
670	1916
671	740
672	1593
673	1600
673	1687
674	1957
675	1106
677	1552
678	1593
680	1916
681	1906
682	878
682	1390
686	976
687	1696
687	1636
688	1939
690	1788
692	1106
693	1916
696	1906
697	1555
697	1030
697	1359
697	732
697	856
697	1175
697	1476
697	1103
698	878
699	1685
701	1546
701	914
702	1469
703	1906
704	785
706	1372
707	1101
708	999
709	1653
710	716
711	1449
712	1630
713	1894
714	1193
716	1995
716	1426
716	745
716	1256
716	861
716	1408
716	1508
716	2033
716	1049
716	1881
716	1651
716	980
717	1811
718	1301
719	1455
721	1552
723	1106
727	1387
729	1980
730	2005
731	1433
733	1101
734	942
735	1381
735	1125
737	1701
738	2027
739	1796
740	2098
740	1345
740	1183
740	1361
740	1337
740	876
740	758
742	2077
743	1972
744	1546
744	871
744	1390
745	1433
746	1894
748	942
749	1811
750	1433
751	1393
752	1394
753	1433
754	1128
755	1339
756	976
757	1552
759	1943
760	1128
761	1390
763	1630
764	1368
764	1179
765	999
766	791
766	1122
768	1261
769	1685
770	1433
771	1106
773	1636
776	1552
778	1372
779	1847
779	2089
779	1364
779	1374
779	1475
779	1761
779	1823
779	1491
779	1424
779	1017
779	1207
779	1067
779	1247
779	1773
779	1483
779	1993
779	1290
779	1089
779	1561
779	1569
779	1795
779	1000
779	1224
779	1655
780	1443
780	1870
782	1128
783	1433
785	930
785	1704
785	810
785	1130
786	1433
787	1696
788	1341
789	1811
790	1980
791	1507
791	1318
791	1314
791	1856
791	988
791	1199
791	1669
791	1598
792	1694
793	1939
795	1128
796	1836
797	1390
798	1630
799	2078
800	1106
802	1788
803	1894
804	1550
805	1368
806	1106
807	1127
807	1894
807	1696
807	1097
808	1127
811	937
813	935
814	1341
815	1341
817	1394
819	1836
820	1696
820	2077
822	1122
823	1949
824	1981
824	1368
825	1080
826	1696
827	1204
829	1600
830	2048
830	1362
830	1697
830	1153
830	1504
830	1061
830	1557
830	1087
831	1836
833	1916
834	1630
835	1552
836	1266
843	1106
844	1261
845	1223
846	1811
847	1593
848	1906
850	1811
851	1894
853	2005
854	1696
855	1980
858	1080
859	1653
860	1433
863	1122
865	1943
866	1449
867	1731
868	1106
869	1537
870	1886
871	1622
871	1050
871	1539
871	1541
872	1852
873	1852
875	945
876	1811
876	999
877	1101
878	2046
878	902
878	1644
878	1392
878	1663
878	893
878	953
878	887
878	1197
878	1326
878	1905
878	1824
878	1792
885	1433
886	1394
886	1552
886	1916
890	2077
891	1788
894	1393
896	1387
897	1980
899	1731
901	1433
903	1796
904	1994
905	1687
906	1372
907	1696
908	1422
910	1101
911	1728
912	1836
913	1980
914	1665
914	1431
914	949
914	950
914	1227
914	2053
914	1756
914	2002
914	1213
914	1292
914	1098
914	1797
915	1731
920	1394
921	1600
926	1949
926	1275
928	935
929	1101
930	1455
931	1193
932	937
935	2110
935	1614
935	1003
935	1401
935	1628
935	1672
935	1898
935	1583
935	1071
937	1633
937	2105
937	1896
937	2004
937	1405
937	1363
937	1861
937	2076
937	947
937	1579
937	1991
937	2036
937	992
938	1907
940	1980
942	1311
942	2016
942	1397
942	1152
942	1999
943	1653
944	1943
945	996
945	1596
945	1108
945	1478
945	2054
945	1276
945	1766
945	1065
945	1026
945	1221
945	1723
948	1980
949	1546
951	1907
952	1037
952	1484
954	1433
955	1438
956	1122
957	1552
958	1394
959	1939
960	2077
963	1593
964	1433
965	1788
967	1653
968	1943
970	1008
971	1433
972	1943
973	1550
975	1696
976	2019
976	1740
976	1494
977	1653
978	1038
979	1552
981	1381
982	1422
983	1122
984	1128
986	1552
987	1393
989	1943
990	1433
991	1038
993	1473
994	1106
996	1906
997	1037
998	1593
999	1369
999	1032
999	1472
1001	1433
1002	1106
1006	1731
1007	1193
1008	1885
1008	1542
1008	1591
1008	1969
1008	2084
1009	1128
1010	1694
1011	1368
1012	1261
1013	1894
1014	2005
1015	1453
1016	1449
1018	2005
1019	1550
1020	1473
1021	1593
1022	1894
1023	1981
1024	1128
1025	1653
1025	1449
1027	1122
1027	1701
1028	1106
1031	1106
1033	1869
1034	1593
1035	1433
1037	1379
1037	1638
1038	1365
1038	1428
1038	1434
1038	1693
1038	1902
1038	1923
1038	1971
1038	1195
1039	1083
1040	1906
1043	1301
1044	1393
1047	1372
1048	1077
1051	1462
1052	1886
1053	1870
1054	1341
1055	1387
1056	1449
1056	1422
1057	1128
1062	1980
1063	1261
1064	1894
1066	1815
1066	1171
1066	1703
1066	1596
1066	1670
1066	2029
1066	2108
1068	1559
1069	1886
1070	2027
1072	1980
1072	1433
1073	1852
1076	1193
1076	1469
1077	1634
1077	1188
1077	1590
1077	1758
1077	1799
1078	1636
1080	2087
1080	1875
1080	1760
1081	1788
1083	1107
1083	1157
1083	1883
1083	1496
1083	2045
1085	1433
1086	1696
1088	1184
1093	1916
1095	2005
1096	1469
1097	1274
1099	1193
1100	1630
1101	1155
1101	1475
1101	1993
1101	1872
1104	1433
1105	1943
1106	1111
1106	1386
1106	2107
1106	1498
1106	1354
1106	1441
1106	1194
1106	1308
1106	1942
1106	1779
1106	1738
1106	2042
1106	1313
1106	1759
1106	1889
1106	1343
1106	1490
1106	1109
1106	1527
1106	1956
1106	1477
1106	1806
1106	1299
1106	1570
1106	1931
1106	2071
1107	1422
1110	1266
1112	1836
1113	2005
1113	1972
1115	1339
1116	1546
1117	1433
1119	1957
1121	1836
1122	1566
1122	1258
1122	1656
1122	2007
1122	1514
1123	1593
1124	1998
1125	1640
1125	1269
1125	2102
1125	1156
1127	1735
1127	1291
1128	1537
1128	1351
1128	1910
1128	1413
1128	2080
1128	1499
1128	1528
1128	1610
1128	1562
1128	1231
1128	2043
1128	1180
1128	1430
1128	1974
1128	1246
1128	1843
1128	1132
1128	1360
1128	1503
1128	1335
1128	1681
1131	1907
1136	1943
1138	1193
1139	1381
1139	1939
1140	2039
1141	1653
1142	1998
1142	1731
1143	1836
1144	1894
1145	1473
1146	1537
1149	1600
1151	1552
1158	1484
1160	1728
1161	1449
1162	1184
1163	2078
1164	1559
1164	1530
1165	2039
1166	1939
1167	1631
1173	1728
1176	1552
1177	1696
1179	1257
1182	1381
1184	1446
1184	1873
1184	1895
1184	1903
1184	1717
1184	1286
1186	1341
1189	1943
1190	1943
1192	1433
1193	1511
1193	1859
1193	2020
1193	1809
1193	1741
1193	2037
1193	1649
1193	1804
1203	1537
1204	1951
1204	1613
1204	1214
1204	1505
1205	1630
1206	1223
1209	1836
1211	1796
1212	1685
1215	1433
1216	1894
1217	1886
1219	1972
1221	1906
1221	1372
1222	1455
1223	1279
1227	1546
1233	1943
1234	1811
1235	1484
1236	1552
1237	1433
1238	1394
1239	1811
1240	1994
1241	1462
1241	1453
1243	1972
1244	1653
1245	2005
1248	1462
1249	1894
1251	1261
1252	1295
1253	1433
1254	1687
1255	1687
1256	1387
1261	1288
1261	1383
1261	1985
1261	1656
1261	1487
1261	1763
1263	1559
1264	1449
1265	1433
1266	1634
1266	1399
1266	1844
1266	1822
1266	1367
1266	1736
1267	1916
1268	1701
1270	1484
1271	1546
1272	1390
1275	1829
1275	1278
1275	1891
1275	1775
1278	1907
1280	1886
1280	1685
1281	1433
1282	1339
1283	1943
1284	1906
1287	1994
1292	1339
1295	1452
1298	1433
1300	1387
1301	1611
1301	2056
1302	1537
1303	1341
1310	1455
1312	1836
1315	1907
1317	1552
1319	1433
1320	1788
1321	1390
1323	1433
1324	1341
1325	1341
1327	1631
1329	2078
1330	1980
1331	1546
1332	1449
1334	1422
1340	1886
1341	1720
1341	1384
1341	2104
1341	1432
1341	1797
1342	1630
1344	1381
1344	1939
1346	1455
1347	1886
1348	1449
1349	1462
1350	1484
1351	1537
1352	1433
1355	2071
1356	2078
1357	1788
1365	1552
1365	1731
1365	1869
1368	2011
1368	1794
1368	1921
1368	1975
1368	2013
1368	1370
1368	1574
1371	1869
1372	1621
1372	1667
1372	2064
1373	2078
1373	1687
1375	1521
1376	1422
1377	1696
1381	1529
1381	1676
1381	1540
1381	1463
1381	1396
1381	1967
1381	1983
1385	1630
1387	1409
1387	1510
1387	1707
1387	1933
1387	2034
1387	1608
1387	1592
1387	1699
1388	1537
1389	1939
1390	1622
1390	2053
1390	1467
1390	1753
1390	1986
1390	1948
1391	1869
1393	1715
1393	1568
1393	1536
1393	1488
1393	1816
1393	1848
1394	1864
1394	1959
1394	1858
1400	2005
1403	1869
1406	1455
1408	1980
1410	2077
1412	1552
1414	1433
1414	1525
1416	2085
1417	1972
1421	2077
1422	2060
1422	1497
1425	1653
1427	1811
1433	2090
1433	1840
1433	1609
1433	1955
1433	1786
1433	1744
1433	1841
1433	1486
1433	1705
1433	1919
1433	1711
1433	1512
1433	2068
1433	1726
1433	1513
1433	1807
1433	1664
1433	1508
1433	1826
1433	1534
1433	1673
1433	1629
1433	2109
1433	1762
1433	1901
1433	1448
1433	1571
1433	1801
1433	1819
1436	2078
1438	2063
1440	1836
1442	1811
1444	2078
1445	1701
1449	1509
1449	1643
1449	1580
1449	2001
1449	1900
1449	2025
1451	1696
1453	1564
1453	1547
1453	1721
1453	1825
1455	1506
1455	1767
1455	1739
1455	1470
1455	1882
1455	1619
1455	1718
1455	1834
1455	1920
1455	1627
1455	1814
1455	2069
1455	1623
1455	2072
1455	1747
1456	1552
1456	1701
1457	1836
1458	1552
1459	1869
1460	1600
1461	1537
1462	1990
1462	1567
1462	1917
1464	1869
1466	1469
1468	1796
1469	2075
1469	1629
1469	2096
1469	1616
1472	1728
1473	1581
1473	1927
1473	1708
1481	1869
1484	2008
1484	1535
1484	1878
1484	1556
1484	2022
1485	1636
1492	1630
1521	1771
1521	1893
1521	1678
1521	2051
1521	1722
1522	1796
1524	1972
1526	2005
1530	1604
1530	1545
1531	1552
1532	2077
1533	2005
1537	2066
1537	1964
1537	2103
1537	1805
1537	1914
1543	1894
1546	1587
1546	1925
1546	1929
1548	1886
1550	2049
1550	1692
1550	1658
1551	1939
1552	1607
1552	1746
1553	1696
1554	1788
1559	1635
1559	1904
1560	1788
1565	1907
1572	1701
1573	1653
1577	1939
1584	1694
1585	1687
1586	1600
1589	1796
1593	2021
1593	1789
1593	1954
1593	1647
1593	2099
1593	1960
1595	2106
1599	1630
1600	1915
1600	1820
1600	2111
1600	1973
1600	1987
1600	1839
1600	1754
1600	1899
1600	1606
1600	1680
1603	1957
1618	1912
1624	1852
1626	2005
1630	1996
1630	1838
1630	1639
1630	1797
1636	2067
1636	1962
1641	1894
1648	1836
1650	1906
1653	1846
1653	1930
1653	1976
1653	1808
1654	1694
1659	1788
1660	1788
1661	1894
1662	2085
1666	2077
1668	1685
1677	1949
1682	1694
1684	1957
1685	1876
1685	1802
1685	2023
1685	1732
1687	1854
1687	2030
1687	1813
1687	1748
1687	1845
1687	2044
1687	1690
1687	1941
1688	2077
1689	1894
1694	2079
1694	1877
1694	1727
1695	1869
1696	2041
1696	1784
1696	1770
1696	2112
1698	1728
1700	1972
1701	1860
1701	1757
1701	1821
1701	2055
1701	2038
1701	1855
1702	1894
1712	2085
1716	2027
1724	1836
1728	2095
1730	2005
1731	1911
1731	2032
1734	2078
1734	1972
1739	1939
1742	1788
1751	1788
1770	2077
1778	1943
1780	1894
1781	1916
1782	1972
1788	1790
1788	1800
1796	1863
1796	2023
1798	1906
1811	2009
1831	2005
1836	1842
1836	2017
1836	2092
1836	1947
1836	1984
1836	2088
1837	1957
1852	2071
1853	2027
1866	2078
1869	1945
1869	2113
1871	1894
1877	1994
1879	1981
1880	2106
1886	2063
1894	2024
1906	2094
1907	2063
1908	1943
1913	1943
1918	1939
1932	1980
1935	1943
1939	1958
1943	2012
1972	2097
1972	2065
1972	1982
1975	1980
1979	2005
1993	2039
1994	2086
2017	2039
2027	2047
2027	2050
2059	2077
